target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	prior	beta.sign.sum	var.exp.median
VNG_RS05610	VNG_RS09875	0.998146						0	-1.000000	0.111659
VNG_RS04110	VNG_RS06890	0.998138						0	1.000000	0.111600
VNG_RS08285	VNG_RS07155	0.998131						0	-1.000000	0.111413
VNG_RS03870	VNG_RS06890	0.998123						0	-1.000000	0.111404
VNG_RS11565	VNG_RS05640	0.998115						0	1.000000	0.111006
VNG_RS11375	VNG_RS06030	0.998108						0	1.000000	0.110674
VNG_RS13250	VNG_RS03395	0.998100						0	1.000000	0.110355
VNG_RS06820	VNG_RS01795	0.998093						0	1.000000	0.110185
VNG_RS12330	VNG_RS05800	0.998085						0	1.000000	0.110040
VNG_RS11945	VNG_RS07155	0.998078						0	1.000000	0.109920
VNG_RS06990	VNG_RS02975	0.998070						0	1.000000	0.109827
VNG_RS13525	VNG_RS00640	0.998063						0	-1.000000	0.109467
VNG_RS02820	VNG_RS07420	0.998055						0	1.000000	0.109207
VNG_RS12350	VNG_RS05875	0.998048						0	-1.000000	0.109060
VNG_RS01005	VNG_RS00150	0.998040						0	-1.000000	0.108806
VNG_RS02945	VNG_RS06275	0.998033						0	-1.000000	0.108113
VNG_RS08250	VNG_RS08245	0.998025						1	1.000000	0.107955
VNG_RS06785	VNG_RS00660	0.998017						1	1.000000	0.107767
VNG_RS12490	VNG_RS04280	0.998010						0	-1.000000	0.107626
VNG_RS04135	VNG_RS08180	0.998002						0	1.000000	0.107553
VNG_RS02440	VNG_RS07890	0.997995						1	1.000000	0.107257
VNG_RS04400	VNG_RS07155	0.997987						0	-1.000000	0.106834
VNG_RS02755	VNG_RS02325	0.997980						1	1.000000	0.106414
VNG_RS08560	VNG_RS07420	0.997972						0	1.000000	0.105938
VNG_RS00635	VNG_RS02325	0.997965						0	1.000000	0.105780
VNG_RS00315	VNG_RS06275	0.997957						0	1.000000	0.105650
VNG_RS09900	VNG_RS00605	0.997950						0	1.000000	0.105310
VNG_RS12300	VNG_RS07115	0.997942						0	1.000000	0.105120
VNG_RS10180	VNG_RS08180	0.997935						0	-1.000000	0.105055
VNG_RS01230	VNG_RS10335	0.997927						0	1.000000	0.104860
VNG_RS11390	VNG_RS00145	0.997919						0	-1.000000	0.104508
VNG_RS11360	VNG_RS01835	0.997912						0	-1.000000	0.104312
VNG_RS12295	VNG_RS07115	0.997904						0	1.000000	0.103951
VNG_RS03685	VNG_RS02760	0.997897						0	1.000000	0.103562
VNG_RS12580	VNG_RS08410	0.997889						0	1.000000	0.103165
VNG_RS02225	VNG_RS07155	0.997882						0	-1.000000	0.102787
VNG_RS01230	VNG_RS10430	0.997874						0	1.000000	0.102094
VNG_RS12330	VNG_RS03875	0.997867						0	1.000000	0.102039
VNG_RS03870	VNG_RS05800	0.997859						1	1.000000	0.101682
VNG_RS11755	VNG_RS00640	0.997852						0	-1.000000	0.101355
VNG_RS04665	VNG_RS05800	0.997844						0	1.000000	0.101216
VNG_RS02005	VNG_RS02000	0.997837						1	1.000000	0.101165
VNG_RS12225	VNG_RS06275	0.997829						0	1.000000	0.101100
VNG_RS05380	VNG_RS08745	0.997821						0	1.000000	0.101041
VNG_RS05515	VNG_RS10230	0.997814						0	-1.000000	0.100956
VNG_RS01895	VNG_RS08745	0.997806						0	-1.000000	0.100906
VNG_RS00715	VNG_RS07145	0.997799						0	-1.000000	0.100366
VNG_RS12335	VNG_RS12310	0.997791						0	1.000000	0.100313
