target	regulator	combined_confidences	gold_standard	precision	recall	MCC	F1	beta.sign.sum	var.exp.median
HVO_RS17215	HVO_RS12155	0.500037						1.000000	0.457704
HVO_RS01660	HVO_RS07610	0.500036						1.000000	0.457695
HVO_RS00515	HVO_RS00550	0.500036	0.000000	0.289474	0.031977	0.095628	0.057592	1.000000	0.457655
HVO_RS12605	HVO_RS10420	0.500035						1.000000	0.457562
HVO_RS02205	HVO_RS03340	0.500035	0.000000	0.282051	0.031977	0.094377	0.057441	1.000000	0.456985
HVO_RS05620	HVO_RS06620	0.500034						1.000000	0.456736
HVO_RS03185	HVO_RS00665	0.500034						1.000000	0.456649
HVO_RS03025	HVO_RS01240	0.500033						1.000000	0.456399
HVO_RS07620	HVO_RS02245	0.500033						1.000000	0.456259
HVO_RS18180	HVO_RS06620	0.500032						1.000000	0.456047
HVO_RS00130	HVO_RS02040	0.500032	0.000000	0.275000	0.031977	0.093172	0.057292	1.000000	0.455869
HVO_RS10070	HVO_RS07065	0.500031	0.000000	0.268293	0.031977	0.092011	0.057143	1.000000	0.455715
HVO_RS02280	HVO_RS02465	0.500031						1.000000	0.455609
HVO_RS04130	HVO_RS00550	0.500030						1.000000	0.455546
HVO_RS13775	HVO_RS01980	0.500030						1.000000	0.455404
HVO_RS04905	HVO_RS04890	0.500029						1.000000	0.455347
HVO_RS01000	HVO_RS02245	0.500029						1.000000	0.455269
HVO_RS07850	HVO_RS01745	0.500028						1.000000	0.454842
HVO_RS01245	HVO_RS03340	0.500028						1.000000	0.454683
HVO_RS08460	HVO_RS06620	0.500027						1.000000	0.454672
HVO_RS01100	HVO_RS00990	0.500027						1.000000	0.454612
HVO_RS17625	HVO_RS06620	0.500026						1.000000	0.454381
HVO_RS03820	HVO_RS17680	0.500026						1.000000	0.454162
HVO_RS17700	HVO_RS10420	0.500025	0.000000	0.261905	0.031977	0.090892	0.056995	1.000000	0.454025
HVO_RS10640	HVO_RS10420	0.500025						1.000000	0.453934
HVO_RS01400	HVO_RS07885	0.500024						1.000000	0.453902
HVO_RS01115	HVO_RS00550	0.500024						1.000000	0.453881
HVO_RS01480	HVO_RS02330	0.500023						1.000000	0.453811
HVO_RS00465	HVO_RS00990	0.500023						1.000000	0.453758
HVO_RS11155	HVO_RS04055	0.500023						1.000000	0.453305
HVO_RS14905	HVO_RS14935	0.500022						1.000000	0.453199
HVO_RS14855	HVO_RS00550	0.500022						1.000000	0.452874
HVO_RS14985	HVO_RS02040	0.500021						1.000000	0.452856
HVO_RS04425	HVO_RS07610	0.500021						1.000000	0.452665
HVO_RS17995	HVO_RS00550	0.500020						1.000000	0.452503
HVO_RS12235	HVO_RS06620	0.500020	0.000000	0.255814	0.031977	0.089812	0.056848	1.000000	0.452311
HVO_RS01030	HVO_RS00550	0.500019	0.000000	0.250000	0.031977	0.088769	0.056701	1.000000	0.451776
HVO_RS04445	HVO_RS07610	0.500019						1.000000	0.451751
HVO_RS03275	HVO_RS02040	0.500018						1.000000	0.451648
HVO_RS06455	HVO_RS01980	0.500018						1.000000	0.451524
HVO_RS03890	HVO_RS06620	0.500017						1.000000	0.451403
HVO_RS02750	HVO_RS04530	0.500017						1.000000	0.451400
HVO_RS09610	HVO_RS06620	0.500016	0.000000	0.244444	0.031977	0.087761	0.056555	1.000000	0.451291
HVO_RS00115	HVO_RS03340	0.500016						1.000000	0.451207
HVO_RS20360	HVO_RS01980	0.500015						1.000000	0.451110
HVO_RS14740	HVO_RS01240	0.500015						1.000000	0.450636
HVO_RS20375	HVO_RS02330	0.500014						1.000000	0.450493
HVO_RS00475	HVO_RS07610	0.500014						1.000000	0.450450
HVO_RS04405	HVO_RS07610	0.500013	0.000000	0.239130	0.031977	0.086785	0.056410	1.000000	0.450146
HVO_RS09720	HVO_RS06620	0.500013						1.000000	0.450134
HVO_RS00165	HVO_RS00550	0.500012	0.000000	0.234043	0.031977	0.085841	0.056266	1.000000	0.450125
HVO_RS17545	HVO_RS01980	0.500012						1.000000	0.449937
HVO_RS03060	HVO_RS00490	0.500011						1.000000	0.449834
HVO_RS00620	HVO_RS01980	0.500011	0.000000	0.229167	0.031977	0.084926	0.056122	1.000000	0.449578
HVO_RS03215	HVO_RS00665	0.500010						1.000000	0.449393
HVO_RS16395	HVO_RS12155	0.500010						1.000000	0.449374
HVO_RS00540	HVO_RS00550	0.500009	0.000000	0.224490	0.031977	0.084039	0.055980	1.000000	0.449365
HVO_RS17585	HVO_RS01840	0.500009	0.000000	0.220000	0.031977	0.083179	0.055838	1.000000	0.449263
HVO_RS09530	HVO_RS10345	0.500008						1.000000	0.449197
HVO_RS09965	HVO_RS05530	0.500008						1.000000	0.449104
HVO_RS14845	HVO_RS00490	0.500007						1.000000	0.448876
HVO_RS01080	HVO_RS00550	0.500007						1.000000	0.448837
HVO_RS01105	HVO_RS00550	0.500006	0.000000	0.215686	0.031977	0.082344	0.055696	1.000000	0.448216
HVO_RS10065	HVO_RS07065	0.500006						1.000000	0.448214
HVO_RS04165	HVO_RS04100	0.500005						1.000000	0.448116
HVO_RS00535	HVO_RS00550	0.500005						1.000000	0.448086
HVO_RS14800	HVO_RS00665	0.500004						1.000000	0.448082
